fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
203337,"Alfonso Alvarez Izquierdo, Spain",UTC,2015-08-21T18:30:00+00:00,1440181800,1440181800,1440185400,,La Rosaleda,Malaga,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,535,Malaga,https://media-3.api-sports.io/football/teams/535.png,,536,Sevilla,https://media-1.api-sports.io/football/teams/536.png,,0,0,0,0,0,0,,,,
203338,"Jesus Gil Manzano, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000,1440264600,,RCDE Stadium,Cornella,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,540,Espanyol,https://media-1.api-sports.io/football/teams/540.png,True,546,Getafe,https://media-1.api-sports.io/football/teams/546.png,False,1,0,1,0,1,0,,,,
203339,"Antonio Mateu, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000,1440264600,,Estadio de Riazor,La Coruna,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,544,Deportivo La Coruna,https://media-3.api-sports.io/football/teams/544.png,,548,Real Sociedad,https://media-2.api-sports.io/football/teams/548.png,,0,0,0,0,0,0,,,,
203340,"Eduardo Prieto Iglesias, Spain",UTC,2015-08-22T18:30:00+00:00,1440268200,1440268200,1440271800,,Vicente Calderón,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,530,Atletico Madrid,https://media-1.api-sports.io/football/teams/530.png,True,534,Las Palmas,https://media-1.api-sports.io/football/teams/534.png,False,1,0,1,0,1,0,,,,
203341,"Alberto Undiano, Spain",UTC,2015-08-22T20:30:00+00:00,1440275400,1440275400,1440279000,1488.0,Estadio de Vallecas,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,728,Rayo Vallecano,https://media-3.api-sports.io/football/teams/728.png,,532,Valencia,https://media-3.api-sports.io/football/teams/532.png,,0,0,0,0,0,0,,,,
203342,"Carlos Del Cerro Grande, Spain",UTC,2015-08-23T16:30:00+00:00,1440347400,1440347400,1440351000,,San Mamés,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,531,Athletic Club,https://media-1.api-sports.io/football/teams/531.png,False,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,True,0,1,0,0,0,1,,,,
203343,"Javier Estrada Fernandez, Spain",UTC,2015-08-23T18:30:00+00:00,1440354600,1440354600,1440358200,,El Molinón-Enrique Castro Quini,Gijon,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,731,Sporting Gijon,https://media-1.api-sports.io/football/teams/731.png,,541,Real Madrid,https://media-2.api-sports.io/football/teams/541.png,,0,0,0,0,0,0,,,,
203344,"Ricardo De Burgos Bengoetxea, Spain",UTC,2015-08-23T20:00:00+00:00,1440360000,1440360000,1440363600,,Ciutat de València,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,539,Levante,https://media-2.api-sports.io/football/teams/539.png,False,538,Celta Vigo,https://media-3.api-sports.io/football/teams/538.png,True,1,2,0,1,1,2,,,,
203345,"Inaki Vicandi Garrido, Spain",UTC,2015-08-23T20:30:00+00:00,1440361800,1440361800,1440365400,,Benito Villamarín,Seville,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,543,Real Betis,https://media-2.api-sports.io/football/teams/543.png,,533,Villarreal,https://media-1.api-sports.io/football/teams/533.png,,1,1,0,1,1,1,,,,
203346,"Ignacio Iglesias Villanueva, Spain",UTC,2015-08-24T18:30:00+00:00,1440441000,1440441000,1440444600,,Nuevo Los Cármenes,Granada,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 1,715,Granada CF,https://media-1.api-sports.io/football/teams/715.png,False,545,Eibar,https://media-3.api-sports.io/football/teams/545.png,True,1,3,0,2,1,3,,,,
203347,"Carlos Velasco Carballo, Spain",UTC,2015-08-28T18:30:00+00:00,1440786600,1440786600,1440790200,1498.0,Estadio de la Cerámica,Villarreal,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,533,Villarreal,https://media-1.api-sports.io/football/teams/533.png,True,540,Espanyol,https://media-1.api-sports.io/football/teams/540.png,False,3,1,0,1,3,1,,,,
203348,"Jose Maria Sanchez Martinez, Spain",UTC,2015-08-29T16:30:00+00:00,1440865800,1440865800,1440869400,,Anoeta,San Sebastian,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,548,Real Sociedad,https://media-3.api-sports.io/football/teams/548.png,,731,Sporting Gijon,https://media-3.api-sports.io/football/teams/731.png,,0,0,0,0,0,0,,,,
203349,"Santiago Jaime Latre, Spain",UTC,2015-08-29T18:30:00+00:00,1440873000,1440873000,1440876600,1462.0,Camp Nou,Barcelona,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,True,535,Malaga,https://media-1.api-sports.io/football/teams/535.png,False,1,0,0,0,1,0,,,,
203350,"Miguel Martinez Munuera, Spain",UTC,2015-08-29T20:00:00+00:00,1440878400,1440878400,1440882000,,Municipal de Balaídos,Vigo,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,538,Celta Vigo,https://media-2.api-sports.io/football/teams/538.png,True,728,Rayo Vallecano,https://media-1.api-sports.io/football/teams/728.png,False,3,0,1,0,3,0,,,,
203351,"Alejandro Hernandez, Spain",UTC,2015-08-29T20:30:00+00:00,1440880200,1440880200,1440883800,,Santiago Bernabéu,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,541,Real Madrid,https://media-1.api-sports.io/football/teams/541.png,True,543,Real Betis,https://media-2.api-sports.io/football/teams/543.png,False,5,0,2,0,5,0,,,,
203352,"David Fernandez Borbalan, Spain",UTC,2015-08-30T16:30:00+00:00,1440952200,1440952200,1440955800,,Ipurua Municipal Stadium,Eibar,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,545,Eibar,https://media-1.api-sports.io/football/teams/545.png,True,531,Athletic Club,https://media-3.api-sports.io/football/teams/531.png,False,2,0,1,0,2,0,,,,
203353,"Carlos Clos Gomez, Spain",UTC,2015-08-30T18:30:00+00:00,1440959400,1440959400,1440963000,,Ramón Sánchez-Pizjuán,Seville,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,536,Sevilla,https://media-1.api-sports.io/football/teams/536.png,False,530,Atletico Madrid,https://media-2.api-sports.io/football/teams/530.png,True,0,3,0,1,0,3,,,,
203354,"Jose Luis Gonzalez Gonzalez, Spain",UTC,2015-08-30T18:30:00+00:00,1440959400,1440959400,1440963000,,Mestalla,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,532,Valencia,https://media-2.api-sports.io/football/teams/532.png,,544,Deportivo La Coruna,https://media-1.api-sports.io/football/teams/544.png,,1,1,1,1,1,1,,,,
203355,"Pedro Jesus Perez Montero, Spain",UTC,2015-08-30T20:30:00+00:00,1440966600,1440966600,1440970200,,Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,534,Las Palmas,https://media-1.api-sports.io/football/teams/534.png,,539,Levante,https://media-3.api-sports.io/football/teams/539.png,,0,0,0,0,0,0,,,,
203356,"Eduardo Prieto Iglesias, Spain",UTC,2015-08-30T20:30:00+00:00,1440966600,1440966600,1440970200,1476.0,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 2,546,Getafe,https://media-1.api-sports.io/football/teams/546.png,False,715,Granada CF,https://media-2.api-sports.io/football/teams/715.png,True,1,2,0,2,1,2,,,,
203357,"Ignacio Iglesias Villanueva, Spain",UTC,2015-09-11T18:30:00+00:00,1441996200,1441996200,1441999800,,Ciutat de València,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 3,539,Levante,https://media-3.api-sports.io/football/teams/539.png,,536,Sevilla,https://media-2.api-sports.io/football/teams/536.png,,1,1,0,1,1,1,,,,
203358,"Inaki Vicandi Garrido, Spain",UTC,2015-09-12T14:00:00+00:00,1442066400,1442066400,1442070000,,RCDE Stadium,Cornella,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 3,540,Espanyol,https://media-3.api-sports.io/football/teams/540.png,False,541,Real Madrid,https://media-2.api-sports.io/football/teams/541.png,True,0,6,0,4,0,6,,,,
203359,"Carlos Del Cerro Grande, Spain",UTC,2015-09-12T16:15:00+00:00,1442074500,1442074500,1442078100,,El Molinón-Enrique Castro Quini,Gijon,Match Finished,FT,90,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,Regular Season - 3,731,Sporting Gijon,https://media-1.api-sports.io/football/teams/731.png,False,532,Valencia,https://media-2.api-sports.io/football/teams/532.png,True,0,1,0,0,0,1,,,,
