score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h 1),Shots off Goal (h2h 1),Total Shots (h2h 1),Blocked Shots (h2h 1),Shots insidebox (h2h 1),Shots outsidebox (h2h 1),Fouls (h2h 1),Corner Kicks (h2h 1),Offsides (h2h 1),Ball Possession (h2h 1),Yellow Cards (h2h 1),Red Cards (h2h 1),Goalkeeper Saves (h2h 1),Total passes (h2h 1),Passes accurate (h2h 1),Passes % (h2h 1),score.fulltime.home (home 2),score.fulltime.away (home 2),Shots on Goal (home 2),Shots off Goal (home 2),Total Shots (home 2),Blocked Shots (home 2),Shots insidebox (home 2),Shots outsidebox (home 2),Fouls (home 2),Corner Kicks (home 2),Offsides (home 2),Ball Possession (home 2),Yellow Cards (home 2),Red Cards (home 2),Goalkeeper Saves (home 2),Total passes (home 2),Passes accurate (home 2),Passes % (home 2),score.fulltime.home (away 2),score.fulltime.away (away 2),Shots on Goal (away 2),Shots off Goal (away 2),Total Shots (away 2),Blocked Shots (away 2),Shots insidebox (away 2),Shots outsidebox (away 2),Fouls (away 2),Corner Kicks (away 2),Offsides (away 2),Ball Possession (away 2),Yellow Cards (away 2),Red Cards (away 2),Goalkeeper Saves (away 2),Total passes (away 2),Passes accurate (away 2),Passes % (away 2),score.fulltime.home (h2h 2),score.fulltime.away (h2h 2),Shots on Goal (h2h 2),Shots off Goal (h2h 2),Total Shots (h2h 2),Blocked Shots (h2h 2),Shots insidebox (h2h 2),Shots outsidebox (h2h 2),Fouls (h2h 2),Corner Kicks (h2h 2),Offsides (h2h 2),Ball Possession (h2h 2),Yellow Cards (h2h 2),Red Cards (h2h 2),Goalkeeper Saves (h2h 2),Total passes (h2h 2),Passes accurate (h2h 2),Passes % (h2h 2),score.fulltime.home (home 3),score.fulltime.away (home 3),Shots on Goal (home 3),Shots off Goal (home 3),Total Shots (home 3),Blocked Shots (home 3),Shots insidebox (home 3),Shots outsidebox (home 3),Fouls (home 3),Corner Kicks (home 3),Offsides (home 3),Ball Possession (home 3),Yellow Cards (home 3),Red Cards (home 3),Goalkeeper Saves (home 3),Total passes (home 3),Passes accurate (home 3),Passes % (home 3),score.fulltime.home (away 3),score.fulltime.away (away 3),Shots on Goal (away 3),Shots off Goal (away 3),Total Shots (away 3),Blocked Shots (away 3),Shots insidebox (away 3),Shots outsidebox (away 3),Fouls (away 3),Corner Kicks (away 3),Offsides (away 3),Ball Possession (away 3),Yellow Cards (away 3),Red Cards (away 3),Goalkeeper Saves (away 3),Total passes (away 3),Passes accurate (away 3),Passes % (away 3),score.fulltime.home (h2h 3),score.fulltime.away (h2h 3),Shots on Goal (h2h 3),Shots off Goal (h2h 3),Total Shots (h2h 3),Blocked Shots (h2h 3),Shots insidebox (h2h 3),Shots outsidebox (h2h 3),Fouls (h2h 3),Corner Kicks (h2h 3),Offsides (h2h 3),Ball Possession (h2h 3),Yellow Cards (h2h 3),Red Cards (h2h 3),Goalkeeper Saves (h2h 3),Total passes (h2h 3),Passes accurate (h2h 3),Passes % (h2h 3),score.fulltime.home (home 4),score.fulltime.away (home 4),Shots on Goal (home 4),Shots off Goal (home 4),Total Shots (home 4),Blocked Shots (home 4),Shots insidebox (home 4),Shots outsidebox (home 4),Fouls (home 4),Corner Kicks (home 4),Offsides (home 4),Ball Possession (home 4),Yellow Cards (home 4),Red Cards (home 4),Goalkeeper Saves (home 4),Total passes (home 4),Passes accurate (home 4),Passes % (home 4),score.fulltime.home (away 4),score.fulltime.away (away 4),Shots on Goal (away 4),Shots off Goal (away 4),Total Shots (away 4),Blocked Shots (away 4),Shots insidebox (away 4),Shots outsidebox (away 4),Fouls (away 4),Corner Kicks (away 4),Offsides (away 4),Ball Possession (away 4),Yellow Cards (away 4),Red Cards (away 4),Goalkeeper Saves (away 4),Total passes (away 4),Passes accurate (away 4),Passes % (away 4),score.fulltime.home (h2h 4),score.fulltime.away (h2h 4),Shots on Goal (h2h 4),Shots off Goal (h2h 4),Total Shots (h2h 4),Blocked Shots (h2h 4),Shots insidebox (h2h 4),Shots outsidebox (h2h 4),Fouls (h2h 4),Corner Kicks (h2h 4),Offsides (h2h 4),Ball Possession (h2h 4),Yellow Cards (h2h 4),Red Cards (h2h 4),Goalkeeper Saves (h2h 4),Total passes (h2h 4),Passes accurate (h2h 4),Passes % (h2h 4),score.fulltime.home (home 5),score.fulltime.away (home 5),Shots on Goal (home 5),Shots off Goal (home 5),Total Shots (home 5),Blocked Shots (home 5),Shots insidebox (home 5),Shots outsidebox (home 5),Fouls (home 5),Corner Kicks (home 5),Offsides (home 5),Ball Possession (home 5),Yellow Cards (home 5),Red Cards (home 5),Goalkeeper Saves (home 5),Total passes (home 5),Passes accurate (home 5),Passes % (home 5),score.fulltime.home (away 5),score.fulltime.away (away 5),Shots on Goal (away 5),Shots off Goal (away 5),Total Shots (away 5),Blocked Shots (away 5),Shots insidebox (away 5),Shots outsidebox (away 5),Fouls (away 5),Corner Kicks (away 5),Offsides (away 5),Ball Possession (away 5),Yellow Cards (away 5),Red Cards (away 5),Goalkeeper Saves (away 5),Total passes (away 5),Passes accurate (away 5),Passes % (away 5),score.fulltime.home (h2h 5),score.fulltime.away (h2h 5),Shots on Goal (h2h 5),Shots off Goal (h2h 5),Total Shots (h2h 5),Blocked Shots (h2h 5),Shots insidebox (h2h 5),Shots outsidebox (h2h 5),Fouls (h2h 5),Corner Kicks (h2h 5),Offsides (h2h 5),Ball Possession (h2h 5),Yellow Cards (h2h 5),Red Cards (h2h 5),Goalkeeper Saves (h2h 5),Total passes (h2h 5),Passes accurate (h2h 5),Passes % (h2h 5)
0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,2,1,4,10,17,3,10,7,12,4,1,0.55,2,0,4,608,552,0.91,0,0,3,2,8,3,4,4,12,4,2,0.3,0,0,2,336,255,0.76,0,3,6,3,11,2,8,3,17,2,1,0.47,2,0,4,472,392,0.83,0,2,2,7,9,0,7,2,12,1,3,0.47,2,0,4,486,415,0.85,0,2,2,5,9,2,4,5,20,6,3,0.41,3,0,3,369,288,0.78,1,0,2,8,14,4,8,6,12,5,2,0.58,2,0,3,685,579,0.85,3,0,6,6,14,2,10,4,13,4,3,0.66,0,0,6,719,654,0.91,2,0,8,4,13,1,8,5,11,5,3,0.42,0,0,2,482,407,0.84,0,1,4,4,9,1,8,1,15,2,4,0.32,2,0,2,304,193,0.63,3,2,3,8,14,3,10,4,9,9,0,0.65,2,0,2,542,467,0.86,5,1,6,3,15,6,9,6,10,2,0,0.43,1,0,4,399,347,0.87,2,1,8,4,16,4,8,8,13,3,0,0.61,2,0,3,635,549,0.86,4,0,8,11,26,7,18,8,16,7,3,0.72,2,0,1,620,553,0.89,2,1,2,3,6,1,3,3,12,0,1,0.35,3,0,3,340,259,0.76
0,2,4,4,12,4,5,7,12,7,2,0.53,1,1,0,554,462,0.83,0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,0,1,1,5,9,3,5,4,16,4,2,0.61,3,0,4,473,392,0.83,2,2,4,6,11,1,7,4,14,4,0,0.4,2,0,1,334,229,0.69,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,2,0,6,5,17,6,11,6,14,4,1,0.6,3,0,2,497,416,0.84,3,1,1,4,5,0,2,3,21,4,1,0.47,5,0,3,405,281,0.69,3,2,10,3,14,1,9,5,7,4,1,0.43,1,0,2,304,229,0.75,0,2,4,3,12,5,7,5,15,4,4,0.62,3,0,2,562,459,0.82,0,1,1,3,4,0,0,4,13,3,0,0.45,5,0,3,439,348,0.79,0,0,0,1,1,0,0,1,14,0,1,0.36,4,0,1,274,168,0.61,5,0,11,10,28,7,21,7,5,13,0,0.71,0,0,3,556,473,0.85,1,2,6,4,14,4,10,4,13,7,1,0.64,2,0,4,657,568,0.86,1,0,2,6,14,6,7,7,17,5,0,0.51,1,0,3,321,242,0.75,1,5,8,5,13,0,7,6,11,2,3,0.52,4,0,5,479,401,0.84
2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,2,1,2,2,5,1,3,2,19,2,0,0.58,4,0,4,541,459,0.85,3,0,2,6,11,3,8,3,11,5,0,0.51,2,0,3,492,419,0.85,3,4,5,3,11,3,7,4,16,6,2,0.56,2,0,1,527,444,0.84,1,2,4,2,8,2,3,5,8,1,2,0.62,2,0,6,603,514,0.85,2,1,2,2,5,1,3,2,19,2,0,0.58,4,0,4,541,459,0.85,2,1,6,5,15,4,10,5,16,6,1,0.42,0,0,1,383,289,0.75,2,1,5,3,12,4,7,5,11,6,1,0.5,1,0,3,518,453,0.87,0,1,2,2,7,3,4,3,11,4,1,0.45,2,0,0,439,366,0.83,1,2,5,6,14,3,8,6,14,8,3,0.69,3,0,2,635,540,0.85,3,1,3,3,10,4,7,3,14,7,2,0.61,3,0,2,493,431,0.87,0,1,2,4,7,1,4,3,14,2,2,0.45,1,0,3,414,329,0.79,3,1,6,2,8,0,4,4,18,5,3,0.53,3,0,0,460,336,0.73,2,0,2,4,8,2,5,3,13,3,1,0.57,2,0,4,609,551,0.9
1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,4,1,9,3,14,2,10,4,14,6,0,0.5,4,0,2,512,444,0.87,4,2,11,9,24,4,20,4,12,9,1,0.59,3,0,3,463,393,0.85,3,0,3,4,10,3,5,5,9,9,1,0.49,1,0,0,449,381,0.85,1,0,2,4,10,4,3,7,16,8,1,0.57,2,0,7,476,384,0.81,1,1,4,1,15,10,8,7,15,7,1,0.55,1,0,5,433,368,0.85,0,0,2,3,6,1,1,5,8,5,0,0.43,1,0,2,394,317,0.8,0,0,3,7,14,4,10,4,14,5,2,0.59,2,0,6,563,485,0.86,1,2,7,5,17,5,14,3,15,12,3,0.55,4,0,0,407,325,0.8,3,1,5,6,12,1,8,4,9,4,1,0.39,1,0,3,393,317,0.81,2,2,4,2,8,2,6,2,12,5,0,0.39,3,0,4,390,300,0.77,4,0,1,4,5,0,2,3,12,1,1,0.28,1,1,4,234,155,0.66,2,1,7,5,15,3,9,6,20,4,0,0.55,2,0,1,546,475,0.87,1,0,3,3,10,4,5,5,13,3,2,0.62,2,0,2,602,514,0.85
1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,0,0,3,4,9,2,2,7,13,1,1,0.54,2,0,1,443,310,0.7,0,2,2,3,6,1,4,2,13,4,0,0.43,3,0,1,420,317,0.75,2,2,9,5,18,4,11,7,17,5,1,0.56,2,0,2,479,407,0.85,5,0,10,3,19,6,12,7,10,8,0,0.55,0,0,0,468,343,0.73,1,1,6,5,12,1,7,5,19,5,1,0.5,1,0,6,373,278,0.75,1,1,9,10,23,4,15,8,12,8,2,0.46,1,0,3,331,264,0.8,0,3,5,4,13,4,8,5,17,9,1,0.45,3,0,0,349,256,0.73,1,2,3,4,8,1,5,3,11,2,3,0.31,4,1,3,292,206,0.71,0,0,1,8,10,1,5,5,24,5,1,0.64,1,0,0,472,371,0.79,2,1,3,6,9,0,5,4,13,3,7,0.44,3,0,3,401,298,0.74,2,0,0,6,8,2,3,5,15,6,4,0.57,1,0,2,450,379,0.84,3,0,3,9,13,1,6,7,19,4,1,0.39,3,0,2,350,283,0.81,4,1,5,6,14,3,11,3,6,9,1,0.57,2,0,1,454,378,0.83
2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,2,7,1,10,2,6,4,13,7,3,0.41,0,0,2,319,248,0.78,0,2,2,8,15,5,10,5,13,9,1,0.4,3,0,2,375,296,0.79,1,0,3,5,12,4,7,5,8,8,1,0.49,2,0,0,442,338,0.76,2,0,3,6,12,3,10,2,15,6,2,0.46,2,0,5,398,293,0.74,3,0,1,3,7,3,3,4,20,0,0,0.4,3,0,6,420,334,0.8,1,1,8,5,14,1,10,4,15,5,1,0.5,3,0,5,379,275,0.73,2,3,6,14,21,1,13,8,13,4,1,0.57,1,0,5,461,386,0.84,0,2,5,8,19,6,15,4,14,7,2,0.37,2,2,2,374,316,0.84,0,1,1,9,10,0,8,2,11,10,0,0.55,2,0,2,504,452,0.9,2,0,8,9,19,2,10,9,22,10,3,0.47,3,0,3,298,211,0.71,1,0,3,5,10,2,7,3,8,5,3,0.42,2,0,2,413,348,0.84,0,5,0,3,3,0,3,0,13,1,2,0.4,3,0,7,348,257,0.74,0,0,4,2,11,5,5,6,17,7,2,0.52,2,0,2,383,288,0.75
2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,1,3,3,4,9,2,5,4,11,5,0,0.62,3,0,2,663,592,0.89,0,3,4,4,10,2,7,3,8,1,0,0.53,1,0,3,551,486,0.88,1,0,3,4,13,6,8,5,12,5,3,0.6,4,0,2,503,397,0.79,1,1,1,4,5,0,4,1,14,2,0,0.52,1,0,6,455,367,0.81,2,1,2,7,12,3,6,6,6,9,2,0.43,2,0,2,408,325,0.8,0,0,2,7,10,1,6,4,6,4,3,0.57,2,0,2,540,453,0.84,0,1,5,4,13,4,6,7,11,10,1,0.66,0,0,1,606,511,0.84,2,1,3,2,7,2,5,2,11,3,3,0.45,1,0,6,461,390,0.85,0,1,5,3,10,2,7,3,8,3,0,0.53,2,0,2,481,398,0.83,0,0,3,0,7,4,1,6,23,1,1,0.49,3,0,0,362,270,0.75,0,3,9,4,17,4,13,4,7,10,6,0.5,1,0,1,451,379,0.84,1,0,2,5,12,5,9,3,16,2,1,0.35,3,0,0,313,232,0.74,4,1,1,5,6,0,4,2,0,1,1,0.63,2,0,3,554,459,0.83
1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,1,1,6,10,19,3,9,10,7,5,0,0.69,0,0,1,672,613,0.91,3,0,8,4,16,4,10,6,7,6,2,0.7,2,0,1,651,582,0.89,1,0,3,4,9,2,2,7,12,2,1,0.4,0,0,3,351,268,0.76,1,4,5,8,16,3,7,9,13,5,2,0.69,3,0,2,619,539,0.87,0,1,8,5,16,3,12,4,12,6,0,0.63,0,0,2,660,566,0.86,1,1,3,8,12,1,6,6,6,3,2,0.41,1,0,5,430,340,0.79,1,0,8,6,18,4,9,9,8,8,6,0.65,1,0,1,613,541,0.88,2,1,4,1,10,5,5,5,17,7,0,0.57,1,0,1,551,460,0.83,3,2,5,6,16,5,8,8,15,7,1,0.35,4,0,1,284,225,0.79,1,3,7,8,17,2,10,7,0,3,5,0.62,0,0,1,637,540,0.85,0,5,12,3,19,4,12,7,9,8,1,0.6,1,0,0,518,441,0.85,3,2,5,5,14,4,10,4,13,9,4,0.45,2,0,0,322,243,0.75,0,0,6,12,21,3,10,11,0,7,0,0.64,1,0,4,671,590,0.88
2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,0,0,0,10,15,5,7,8,16,9,1,0.69,2,0,1,676,595,0.88,2,1,3,3,8,2,5,3,11,3,0,0.59,0,0,3,586,490,0.84,3,4,5,3,11,3,7,4,16,6,2,0.56,2,0,1,527,444,0.84,0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,5,1,6,7,15,2,12,3,10,5,0,0.39,5,1,3,301,208,0.69,2,1,6,5,15,4,10,5,16,6,1,0.42,0,0,1,383,289,0.75,0,3,6,3,11,2,8,3,17,2,1,0.47,2,0,4,472,392,0.83,0,1,8,3,12,1,9,3,18,3,1,0.35,2,0,3,254,172,0.68,1,2,5,6,14,3,8,6,14,8,3,0.69,3,0,2,635,540,0.85,1,0,2,8,14,4,8,6,12,5,2,0.58,2,0,3,685,579,0.85,0,0,1,5,10,4,7,3,10,8,1,0.47,1,0,4,362,287,0.79,3,1,6,2,8,0,4,4,18,5,3,0.53,3,0,0,460,336,0.73,0,1,4,4,9,1,8,1,15,2,4,0.32,2,0,2,304,193,0.63,2,1,4,5,10,1,8,2,13,4,3,0.45,2,0,4,457,374,0.82
1,2,11,10,23,2,14,9,9,8,4,0.74,1,0,5,708,618,0.87,2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,6,0,7,11,18,0,13,5,4,11,2,0.74,1,0,0,681,602,0.88,0,4,5,8,17,4,14,3,6,6,6,0.71,1,0,1,692,621,0.9,3,0,4,6,14,4,7,7,6,7,5,0.65,0,0,7,522,416,0.8,0,1,4,9,21,8,11,10,9,7,3,0.76,2,0,3,720,626,0.87,4,0,5,12,18,1,13,5,11,2,6,0.59,2,0,0,641,561,0.88,1,3,6,5,14,3,11,3,19,6,2,0.51,2,0,0,376,292,0.78,8,0,12,4,18,2,15,3,16,4,2,0.71,0,0,1,749,672,0.9,5,1,3,3,8,2,6,2,7,0,3,0.61,2,1,5,592,504,0.85,1,0,5,4,11,2,9,2,15,10,5,0.58,3,0,5,437,326,0.75,0,1,8,4,17,5,11,6,12,5,2,0.7,3,0,1,613,521,0.85,2,1,10,5,20,5,10,10,10,8,2,0.65,0,0,3,671,590,0.88,2,0,5,3,13,5,3,10,11,8,3,0.61,2,0,3,493,398,0.81,1,2,5,13,20,2,16,4,0,7,1,0.71,2,0,1,566,493,0.87
