score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1)
0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,2,1,4,10,17,3,10,7,12,4,1,0.55,2,0,4,608,552,0.91,0,0,3,2,8,3,4,4,12,4,2,0.3,0,0,2,336,255,0.76,1,5,8,2,7,1,11,5,1,0.7,2,0,3,755,663,0.88
0,2,4,4,12,4,5,7,12,7,2,0.53,1,1,0,554,462,0.83,0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,0,1,1,5,9,3,5,4,16,4,2,0.61,3,0,4,473,392,0.83,4,3,9,2,4,5,19,5,1,0.39,6,1,0,301,227,0.75
2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,2,1,2,2,5,1,3,2,19,2,0,0.58,4,0,4,541,459,0.85,6,5,15,4,10,5,16,6,1,0.42,0,0,1,383,289,0.75
1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,4,1,9,3,14,2,10,4,14,6,0,0.5,4,0,2,512,444,0.87,3,7,14,4,9,5,5,3,0,0.5,3,0,6,518,447,0.86
1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,1,0,3,1,4,0,1,3,12,2,1,0.41,1,0,4,385,284,0.74,4,7,12,1,8,4,17,7,3,0.59,1,0,2,547,428,0.78
0,3,4,5,12,3,9,3,14,6,1,0.43,1,0,10,381,292,0.77,1,0,2,10,19,7,12,7,12,5,3,0.48,1,0,3,443,329,0.74,2,3,3,3,6,0,1,5,0,1,5,0.45,3,0,4,344,232,0.67,6,7,19,6,14,5,0,11,3,0.55,2,0,0,403,289,0.72
1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,0,0,3,4,9,2,2,7,13,1,1,0.54,2,0,1,443,310,0.7,1,4,7,2,4,3,19,3,6,0.46,1,0,3,372,250,0.67
2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,2,7,1,10,2,6,4,13,7,3,0.41,0,0,2,319,248,0.78,4,7,14,3,8,6,15,9,4,0.59,3,0,5,447,388,0.87
2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,1,3,3,4,9,2,5,4,11,5,0,0.62,3,0,2,663,592,0.89,5,1,10,4,5,5,12,5,2,0.38,1,0,2,410,329,0.8
1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,1,1,6,10,19,3,9,10,7,5,0,0.69,0,0,1,672,613,0.91,2,1,4,1,4,0,19,1,1,0.31,2,0,5,304,218,0.72
