score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1),score.fulltime.home (home 2),score.fulltime.away (home 2),Shots on Goal (home 2),Shots off Goal (home 2),Total Shots (home 2),Blocked Shots (home 2),Shots insidebox (home 2),Shots outsidebox (home 2),Fouls (home 2),Corner Kicks (home 2),Offsides (home 2),Ball Possession (home 2),Yellow Cards (home 2),Red Cards (home 2),Goalkeeper Saves (home 2),Total passes (home 2),Passes accurate (home 2),Passes % (home 2),score.fulltime.home (away 2),score.fulltime.away (away 2),Shots on Goal (away 2),Shots off Goal (away 2),Total Shots (away 2),Blocked Shots (away 2),Shots insidebox (away 2),Shots outsidebox (away 2),Fouls (away 2),Corner Kicks (away 2),Offsides (away 2),Ball Possession (away 2),Yellow Cards (away 2),Red Cards (away 2),Goalkeeper Saves (away 2),Total passes (away 2),Passes accurate (away 2),Passes % (away 2),score.fulltime.home (h2h 2),score.fulltime.away (h2h 2),Shots on Goal (h2h - home 2),Shots off Goal (h2h - home 2),Total Shots (h2h - home 2),Blocked Shots (h2h - home 2),Shots insidebox (h2h - home 2),Shots outsidebox (h2h - home 2),Fouls (h2h - home 2),Corner Kicks (h2h - home 2),Offsides (h2h - home 2),Ball Possession (h2h - home 2),Yellow Cards (h2h - home 2),Red Cards (h2h - home 2),Goalkeeper Saves (h2h - home 2),Total passes (h2h - home 2),Passes accurate (h2h - home 2),Passes % (h2h - home 2),Shots on Goal (h2h - away 2),Shots off Goal (h2h - away 2),Total Shots (h2h - away 2),Blocked Shots (h2h - away 2),Shots insidebox (h2h - away 2),Shots outsidebox (h2h - away 2),Fouls (h2h - away 2),Corner Kicks (h2h - away 2),Offsides (h2h - away 2),Ball Possession (h2h - away 2),Yellow Cards (h2h - away 2),Red Cards (h2h - away 2),Goalkeeper Saves (h2h - away 2),Total passes (h2h - away 2),Passes accurate (h2h - away 2),Passes % (h2h - away 2)
0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,2,1,4,10,17,3,10,7,12,4,1,0.55,2,0,4,608,552,0.91,0,0,3,2,8,3,4,4,12,4,2,0.3,0,0,2,336,255,0.76,1,5,8,2,7,1,11,5,1,0.7,2,0,3,755,663,0.88,0,3,6,3,11,2,8,3,17,2,1,0.47,2,0,4,472,392,0.83,0,2,2,7,9,0,7,2,12,1,3,0.47,2,0,4,486,415,0.85,0,2,2,5,9,2,4,5,20,6,3,0.41,3,0,3,369,288,0.78,5,6,12,1,8,4,10,3,3,0.59,1,0,2,539,466,0.86
0,2,4,4,12,4,5,7,12,7,2,0.53,1,1,0,554,462,0.83,0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,0,1,1,5,9,3,5,4,16,4,2,0.61,3,0,4,473,392,0.83,4,3,9,2,4,5,19,5,1,0.39,6,1,0,301,227,0.75,2,2,4,6,11,1,7,4,14,4,0,0.4,2,0,1,334,229,0.69,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,2,0,6,5,17,6,11,6,14,4,1,0.6,3,0,2,497,416,0.84,2,3,7,2,4,3,14,2,0,0.4,5,0,4,323,244,0.76
2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,2,1,2,2,5,1,3,2,19,2,0,0.58,4,0,4,541,459,0.85,6,5,15,4,10,5,16,6,1,0.42,0,0,1,383,289,0.75,3,0,2,6,11,3,8,3,11,5,0,0.51,2,0,3,492,419,0.85,3,4,5,3,11,3,7,4,16,6,2,0.56,2,0,1,527,444,0.84,1,2,4,2,8,2,3,5,8,1,2,0.62,2,0,6,603,514,0.85,8,5,15,2,12,3,16,4,1,0.38,2,0,3,362,279,0.77
1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,4,1,9,3,14,2,10,4,14,6,0,0.5,4,0,2,512,444,0.87,3,7,14,4,9,5,5,3,0,0.5,3,0,6,518,447,0.86,4,2,11,9,24,4,20,4,12,9,1,0.59,3,0,3,463,393,0.85,3,0,3,4,10,3,5,5,9,9,1,0.49,1,0,0,449,381,0.85,1,0,2,4,10,4,3,7,16,8,1,0.57,2,0,7,476,384,0.81,8,3,12,1,7,5,16,6,1,0.43,4,0,2,380,299,0.79
1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,1,0,3,1,4,0,1,3,12,2,1,0.41,1,0,4,385,284,0.74,4,7,12,1,8,4,17,7,3,0.59,1,0,2,547,428,0.78,2,0,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76,0,0,1,8,10,1,6,4,11,4,0,0.48,4,0,3,485,395,0.81,1,2,5,6,14,3,8,6,11,6,1,0.35,0,0,3,301,180,0.6,4,7,12,1,8,4,15,6,4,0.65,1,0,3,579,457,0.79
0,3,4,5,12,3,9,3,14,6,1,0.43,1,0,10,381,292,0.77,1,0,2,10,19,7,12,7,12,5,3,0.48,1,0,3,443,329,0.74,2,3,3,3,6,0,1,5,0,1,5,0.45,3,0,4,344,232,0.67,6,7,19,6,14,5,0,11,3,0.55,2,0,0,403,289,0.72,1,1,2,3,9,4,5,4,9,1,0,0.39,0,0,2,365,268,0.73,0,4,1,3,7,3,5,2,9,3,3,0.26,1,0,2,289,206,0.71,0,0,4,7,12,1,5,7,0,9,1,0.54,0,0,1,463,375,0.81,1,5,7,1,5,2,0,3,5,0.46,4,0,4,399,325,0.81
1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,0,0,3,4,9,2,2,7,13,1,1,0.54,2,0,1,443,310,0.7,1,4,7,2,4,3,19,3,6,0.46,1,0,3,372,250,0.67,0,2,2,3,6,1,4,2,13,4,0,0.43,3,0,1,420,317,0.75,2,2,9,5,18,4,11,7,17,5,1,0.56,2,0,2,479,407,0.85,5,0,10,3,19,6,12,7,10,8,0,0.55,0,0,0,468,343,0.73,0,3,4,1,1,3,13,5,0,0.45,2,0,5,381,276,0.72
2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,2,7,1,10,2,6,4,13,7,3,0.41,0,0,2,319,248,0.78,4,7,14,3,8,6,15,9,4,0.59,3,0,5,447,388,0.87,0,2,2,8,15,5,10,5,13,9,1,0.4,3,0,2,375,296,0.79,1,0,3,5,12,4,7,5,8,8,1,0.49,2,0,0,442,338,0.76,2,0,3,6,12,3,10,2,15,6,2,0.46,2,0,5,398,293,0.74,7,4,14,3,7,7,17,5,1,0.54,1,0,3,480,400,0.83
2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,1,3,3,4,9,2,5,4,11,5,0,0.62,3,0,2,663,592,0.89,5,1,10,4,5,5,12,5,2,0.38,1,0,2,410,329,0.8,0,3,4,4,10,2,7,3,8,1,0,0.53,1,0,3,551,486,0.88,1,0,3,4,13,6,8,5,12,5,3,0.6,4,0,2,503,397,0.79,1,1,1,4,5,0,4,1,14,2,0,0.52,1,0,6,455,367,0.81,6,10,19,3,10,9,14,15,1,0.48,2,1,0,403,321,0.8
1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,1,1,6,10,19,3,9,10,7,5,0,0.69,0,0,1,672,613,0.91,2,1,4,1,4,0,19,1,1,0.31,2,0,5,304,218,0.72,3,0,8,4,16,4,10,6,7,6,2,0.7,2,0,1,651,582,0.89,1,0,3,4,9,2,2,7,12,2,1,0.4,0,0,3,351,268,0.76,1,4,5,8,16,3,7,9,13,5,2,0.69,3,0,2,619,539,0.87,6,6,14,2,5,9,10,4,2,0.31,1,0,4,265,192,0.72
