train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.5335164835164835,0.5302197802197802,0.545054945054945,0.25049034390417485,0.21945054945054945,0.26808566844790777
728,0.4714285714285714,0.4675824175824176,0.4725274725274725,0.25993510331600345,0.21362637362637363,0.2934442286582792
1092,0.4238095238095238,0.40906593406593406,0.42948717948717946,0.2498290732319272,0.20703296703296703,0.276648411961255
1456,0.38708791208791204,0.3727335164835165,0.3956043956043956,0.24916780255967966,0.20054945054945053,0.2853210455844924
1820,0.36505494505494507,0.35604395604395606,0.36813186813186816,0.25729967069154774,0.20989010989010987,0.2857606060240528
2184,0.3549450549450549,0.3489010989010989,0.36254578754578753,0.26366919578774684,0.21274725274725276,0.30464324917672886
2548,0.33775510204081627,0.33457613814756676,0.3424646781789639,0.26366823078129337,0.2198901098901099,0.30760593961472116
2912,0.3273351648351649,0.3195741758241758,0.33883928571428573,0.2691653900435459,0.2235164835164835,0.3066706071096851
3276,0.31807081807081805,0.3111721611721612,0.32573260073260074,0.2621336292686457,0.21615384615384614,0.291799133906708
3640,0.3035714285714286,0.29098901098901103,0.3190384615384615,0.25334555674841075,0.2165934065934066,0.27741764273048575
