train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,1.0,1.0,1.0,0.20324845297402927,0.1891208791208791,0.21868397244906576
728,1.0,1.0,1.0,0.2052298524746384,0.19725274725274725,0.21373626373626373
1092,0.9970695970695971,0.9963369963369964,0.9996336996336996,0.20874102845562778,0.17285714285714288,0.22757638629208335
1456,0.9936813186813186,0.9917582417582418,0.9971153846153846,0.20039348138140672,0.18736263736263736,0.21777915827312094
1820,0.9851648351648352,0.9625274725274726,0.9926923076923078,0.22039155136849975,0.20362637362637362,0.24252747252747253
2184,0.9847069597069599,0.9606227106227107,0.9935897435897436,0.2258817143339646,0.20054945054945053,0.24338041760654275
2548,0.9803767660910518,0.9650706436420722,0.9917189952904238,0.21424084148562744,0.20041712403951703,0.2268131868131868
2912,0.976717032967033,0.9649381868131868,0.9920673076923077,0.22280937503769555,0.18887721499137528,0.2589010989010989
3276,0.9791208791208792,0.968009768009768,0.992948717948718,0.21797324519607725,0.20384615384615384,0.22494505494505496
3640,0.9808241758241758,0.9707142857142858,0.9935714285714285,0.23269779616651184,0.21535988709424492,0.2502197802197802
