train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.0,0.0,-0.0,-0.414195003679087,-0.41945054945054944,-0.4075370622791039
728,0.0,0.0,-0.0,-0.4173454280808836,-0.4231135531135531,-0.41190058021013015
1092,-0.0009768009768009768,-0.001221001221001221,-0.0001221001221001222,-0.4130256571090819,-0.4280769230769231,-0.4006484240238356
1456,-0.0021062271062271066,-0.0027472527472527475,-0.0009615384615384617,-0.4129112636357422,-0.4201885984487521,-0.3994139194139194
1820,-0.0050061050061050065,-0.012490842490842492,-0.002710622710622711,-0.4064425707235807,-0.41305034519085015,-0.39895604395604406
2184,-0.005352055352055352,-0.013125763125763126,-0.002553927553927554,-0.4063959019392609,-0.42446275946275946,-0.39409538686706636
2548,-0.007012035583464154,-0.012214372928658644,-0.0030961102389673823,-0.40839354571517034,-0.41979781774512837,-0.4008302808302808
2912,-0.008211233211233212,-0.012236721611721612,-0.002938034188034188,-0.40343949744608365,-0.4152655677655678,-0.3896062271062271
3276,-0.007387057387057387,-0.011273911273911275,-0.0026115859449192783,-0.4000577127470651,-0.4095787545787546,-0.3897985347985348
3640,-0.006990231990231989,-0.010616605616605615,-0.0026678876678876678,-0.40323614244031364,-0.41339353231230286,-0.3939468864468864
