train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.4626373626373626,0.45604395604395603,0.4857142857142857,0.3438819797107393,0.3234794513938312,0.36032967032967034
728,0.423076923076923,0.41346153846153844,0.4567307692307693,0.33640462720594444,0.301978021978022,0.3575570861630137
1092,0.40695970695970696,0.40054945054945057,0.42115384615384616,0.340582622646289,0.3027472527472527,0.3557142857142857
1456,0.3895604395604395,0.3809065934065934,0.39512362637362636,0.3355274363397306,0.300989010989011,0.351499981906129
1820,0.3767032967032967,0.36439560439560437,0.3802197802197802,0.3269596265425025,0.300989010989011,0.3409523407437787
2184,0.3739010989010989,0.3701923076923077,0.3798992673992674,0.33069420151747264,0.3032967032967033,0.3417207271323627
2548,0.36051805337519627,0.3520408163265306,0.3661695447409733,0.32937334893427095,0.28582417582417585,0.3510811691053184
2912,0.3573489010989011,0.3505837912087912,0.3611607142857143,0.3339880097948155,0.3061538461538461,0.35371527484590054
3276,0.3545787545787546,0.3474358974358974,0.3594932844932845,0.3282754128418234,0.2957142857142857,0.3463602369090843
3640,0.3496153846153846,0.3436813186813187,0.35494505494505496,0.33266932847613423,0.29582417582417586,0.35316582429645
