train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,1.0,1.0,1.0,0.3840882498401708,0.3728571428571429,0.3981773440609884
728,1.0,1.0,1.0,0.39023968347788324,0.37351648351648353,0.40849615806805706
1092,0.9985347985347985,0.9981684981684982,0.9998168498168498,0.4001261745937926,0.3689010989010989,0.4251831702874513
1456,0.9968406593406594,0.9958791208791209,0.9985576923076923,0.40386388583973654,0.3679120879120879,0.43358029456821995
1820,0.9924175824175825,0.9812637362637362,0.9956043956043956,0.41265195835997154,0.378021978021978,0.4379743308283374
2184,0.9918498168498168,0.9803113553113553,0.9958791208791209,0.40715986538159976,0.38395604395604394,0.42698652609739324
2548,0.9892464678178964,0.9815149136577708,0.9951334379905808,0.4018877938746216,0.3703296703296703,0.4257790617724756
2912,0.9875,0.9812843406593406,0.9953983516483517,0.4047459017382179,0.3739114124075705,0.4248351648351648
3276,0.9887667887667888,0.9828144078144078,0.9959096459096459,0.4065036609932329,0.3861538461538462,0.42951556676035274
3640,0.9895054945054944,0.9840109890109889,0.9960164835164835,0.4038665396074836,0.38274725274725274,0.43340659340659343
