train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.12245552920707,-0.12629482621319807,-0.12135858720531911,-1.2625714616879526,-1.3306011984983905,-1.2167111745804662
728,-0.2641393232354995,-0.26545197245718,-0.2595450509596177,-0.4967675859825472,-0.5099257979364351,-0.48729691215384696
1092,-0.3004179358439979,-0.30070825945788743,-0.2995030418527412,-0.4420920658594957,-0.4513794470799022,-0.43043427905322823
1456,-0.3209751231672364,-0.324436770870693,-0.3163231077117051,-0.4214203504941959,-0.4321758283761754,-0.407832856498222
1820,-0.3307137181144132,-0.33189486292984577,-0.3269867088212729,-0.40903880585068164,-0.4201362149627725,-0.39701975688529306
2184,-0.33811077165979336,-0.34005823584080447,-0.33470510371866985,-0.4017329267892241,-0.4107670688088252,-0.3911063547715933
2548,-0.3444584488545964,-0.34704978830462024,-0.3407693744049777,-0.3971917559218649,-0.4060164773405617,-0.3873619646634385
2912,-0.3484200394353236,-0.35128020971380775,-0.34588537329821056,-0.39447833433742463,-0.40187156961251164,-0.38508100112837435
3276,-0.35187381067026324,-0.3545289404522636,-0.34924922305749556,-0.3926580075490377,-0.40117815803280427,-0.3833170070255981
3640,-0.35527006848319753,-0.357742637096779,-0.3522967301078379,-0.39203302722219274,-0.40196947837657904,-0.3828850266253316
