train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,1.0,1.0,1.0,0.26301636892196717,0.24494505494505495,0.27974994270274184
728,0.6953296703296703,0.6936813186813187,0.701098901098901,0.29751148960808677,0.259010989010989,0.3212192856539728
1092,0.5967032967032967,0.5881868131868132,0.6016483516483516,0.32981942316739243,0.31285714285714283,0.3491208791208791
1456,0.5401098901098902,0.5217719780219781,0.5471153846153847,0.34344121301311203,0.3329293977153472,0.34934065934065933
1820,0.4978021978021978,0.49230769230769234,0.5170329670329671,0.3630004463154847,0.3463353879929072,0.3893406593406593
2184,0.48589743589743584,0.4766025641025641,0.5018315018315018,0.36497822704189337,0.33853306956490276,0.39483516483516484
2548,0.4736263736263736,0.46142072213500784,0.4838304552590267,0.35619039577327183,0.334065572188514,0.3828571428571429
2912,0.46002747252747256,0.44694368131868134,0.471771978021978,0.3671753054848554,0.34281842197319695,0.3969230769230769
3276,0.4472527472527473,0.43211233211233213,0.4592490842490842,0.3632190202771981,0.33897214750123644,0.3852747252747253
3640,0.43510989010989015,0.4236263736263736,0.44532967032967036,0.36102266558907614,0.33040144268464794,0.3828571428571429
