train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.3653846153846153,0.2596153846153846,0.3956043956043956,0.27314507665770016,0.19904295484976056,0.31285714285714283
728,0.36483516483516487,0.3434065934065934,0.4398351648351648,0.3177059384084632,0.28175824175824177,0.42341298657434767
1092,0.006593406593406593,0.0,0.027472527472527472,0.009229804224315751,0.00010989010989010989,0.0360434735407293
1456,0.3942307692307692,0.28399725274725274,0.448489010989011,0.34698254544577267,0.23757530065982319,0.41714285714285715
1820,0.1458241758241758,0.03241758241758242,0.420989010989011,0.13799326907998696,0.027802197802197802,0.42449114003449895
2184,0.26245421245421247,0.09716117216117216,0.38159340659340657,0.24987056850942685,0.10485711873198153,0.3489010989010989
2548,0.291679748822606,0.12794348508634223,0.41927001569858713,0.3019517255521646,0.1362552924572683,0.42076923076923073
2912,0.24560439560439562,0.034237637362637366,0.4483516483516483,0.21626204750244268,0.02164075222253049,0.4237362637362637
3276,0.1716117216117216,0.06910866910866911,0.31376678876678876,0.16350152591645456,0.07037225123943015,0.30439560439560437
3640,0.3485164835164835,0.20467032967032966,0.4672802197802198,0.3353315400296739,0.2081053304543974,0.4567032967032967
