train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.1262134321072325,-0.12961392608423175,-0.1143117031877351,-0.4154586971583566,-0.4217899749071422,-0.4110831409634249
728,-0.381912540995073,-0.3912648442535755,-0.3491794795903142,-0.41725297339076517,-0.42853038139844885,-0.3871281390071166
1092,-0.4042682029549822,-0.41023659547582364,-0.39458896895641016,-0.4162911782025553,-0.4232524873032123,-0.4030491310597268
1456,-0.3984397772312464,-0.40559719107617176,-0.3942846409219341,-0.4074931340607509,-0.41552386300837646,-0.403651603346856
1820,-0.4218062112393512,-0.42835246688719947,-0.41139058624620894,-0.4262015332463923,-0.4348623480611579,-0.4118931945688749
2184,-0.40847054691998874,-0.42664523759336836,-0.39627630139833403,-0.41548386789501335,-0.4287023623627982,-0.40550439794243304
2548,-0.41434414544885223,-0.43181483814124005,-0.40216863237295497,-0.4194107230429684,-0.4370357122589558,-0.40289115850592844
2912,-0.41006901040794874,-0.41428619895337104,-0.4049292896344482,-0.412235131115693,-0.4171218743985708,-0.4056811589086776
3276,-0.41493545077260974,-0.4217382880749734,-0.40904418965290923,-0.4166767256690663,-0.4271454891904537,-0.4038216627956717
3640,-0.4050841137986449,-0.419424270281923,-0.3895973352921049,-0.40531847437693286,-0.42142836598275385,-0.3922427696559246
