train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.30714285714285716,0.29945054945054944,0.3340659340659341,0.2885074968938855,0.2797802197802198,0.2961218803150746
728,0.3076923076923077,0.3021978021978022,0.3269230769230769,0.2852122411068624,0.27604395604395604,0.29703296703296705
1092,0.30109890109890114,0.29212454212454214,0.3119047619047619,0.2898240069480465,0.2665934065934066,0.30058165763983546
1456,0.3008241758241758,0.2926510989010989,0.30425824175824173,0.2827936936828265,0.26384615384615384,0.2919462973908638
1820,0.2985714285714286,0.29,0.30164835164835163,0.2783976067839954,0.2618681318681319,0.2904815382202869
2184,0.2947802197802198,0.2893315018315018,0.29853479853479853,0.2772996706915477,0.2631868131868132,0.28598038624383304
2548,0.29152276295133445,0.2868916797488226,0.29709576138147564,0.2810352106729714,0.2674725274725275,0.2892738326437558
2912,0.2883241758241758,0.28145604395604396,0.2914148351648352,0.2770810967298344,0.25879120879120876,0.29120879120879123
3276,0.28797313797313795,0.28516483516483515,0.2905677655677656,0.2748823295255787,0.256043956043956,0.2848825707771921
3640,0.282032967032967,0.27802197802197803,0.28527472527472525,0.2740051386593648,0.25780219780219776,0.2867827891099021
