train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,1.0,1.0,1.0,0.2665227198706891,0.24021978021978024,0.31649509656095826
728,1.0,1.0,1.0,0.27971170432202264,0.2541758241758242,0.3096916804381129
1092,0.9981684981684982,0.9973443223443224,0.998992673992674,0.29399958987225727,0.27670329670329674,0.3100767180130517
1456,0.9956043956043956,0.9945054945054945,0.9978021978021978,0.3036696782909736,0.29615384615384616,0.31153846153846154
1820,0.9897802197802198,0.9741758241758242,0.9949450549450549,0.302569812185619,0.28725274725274724,0.315054945054945
2184,0.9891941391941392,0.9729395604395604,0.9958791208791209,0.29927359139214244,0.27670329670329674,0.3171428571428571
2548,0.9854003139717425,0.9771193092621664,0.9934065934065933,0.29971580559944994,0.28604395604395605,0.32153846153846155
2912,0.9837912087912087,0.9754120879120879,0.9946771978021978,0.30125161337016443,0.27890109890109893,0.33018624624552173
3276,0.984981684981685,0.9773504273504273,0.9943223443223443,0.29378149841377066,0.2725274725274725,0.3172204195365556
3640,0.9859890109890109,0.9792032967032966,0.9950549450549451,0.29092363180178765,0.2693406593406593,0.3123076923076923
