train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.2324175824175824,0.1131868131868132,0.2664835164835165,0.20877383867504617,0.09299875755419114,0.25032967032967035
728,0.3307692307692308,0.30357142857142855,0.42596153846153845,0.2939747409560801,0.2553846153846154,0.40079842221444856
1092,0.2644688644688644,0.21620879120879122,0.2866300366300366,0.26216113195256996,0.17478003884150975,0.3272527472527472
1456,0.15357142857142853,0.04395604395604396,0.4273351648351648,0.15160854513214556,0.03956043956043956,0.42954053630233646
1820,0.39604395604395604,0.17906593406593407,0.4631868131868132,0.3722027478558763,0.16582417582417583,0.472604673043751
2184,0.13205128205128208,0.00631868131868132,0.3769230769230769,0.12430634129865743,0.004285714285714286,0.3772906237560464
2548,0.15918367346938772,0.002354788069073783,0.3432888540031397,0.15840315557110288,0.0032967032967032967,0.3499708085547822
2912,0.2345467032967033,0.1064217032967033,0.4309752747252747,0.20588195558557798,0.09956043956043956,0.37579812064993184
3276,0.25378510378510377,0.05283882783882784,0.4403846153846154,0.24209937153954714,0.058571428571428566,0.4325240950048853
3640,0.18923076923076923,0.1346153846153846,0.23843406593406594,0.1854443251589245,0.12197802197802199,0.22801594673164377
