train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-52408783019041.34,-56998737092298.56,-51097367569539.29,-53161338950791.73,-56770729572574.875,-51934521482917.2
728,-27395845948401.96,-27406953099513.355,-27356970919512.06,-27677915538021.965,-28004019048855.99,-27251950990406.9
1092,-9852623071852.326,-14738057983741.01,-7482472943937.552,-9905685219491.756,-14844619654151.422,-7475028341962.277
1456,-6819193791113.608,-7961801911478.579,-5010027357032.026,-6851754484567.051,-8004220685182.768,-5026919271494.405
1820,-7599108907588.744,-9083659554799.639,-4340286342512.063,-7606372313795.055,-9164207310452.8,-4353322219142.7153
2184,-3558231102222.897,-4459416159827.626,-2005224629183.339,-3567388501576.7236,-4506884633865.713,-2020992417409.4875
2548,-2701707019204.538,-4032663140623.2363,-1785058830494.9878,-2709457491161.341,-4036474146607.9395,-1769134986698.05
2912,-1923274931634.8074,-2587110217221.85,-964761525676.6842,-1933228215546.4805,-2600978920444.2563,-968501145898.799
3276,-1806979501999.8901,-2204358128410.8916,-1200454095273.1577,-1818343980575.8757,-2247555569225.034,-1205296719417.8188
3640,-1908301857692.5356,-2296090285327.4956,-1397850558296.461,-1909817497627.2993,-2286007100675.545,-1440981455601.6733
