train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.332660952827997,-0.33534350279985836,-0.32327202792648235,-0.35464753789889425,-0.35851266915276064,-0.3499829487383092
728,-0.3334900945519924,-0.3354466395037417,-0.32664218722086996,-0.3538954820549129,-0.35943233555585896,-0.34870535552486476
1092,-0.33785537132492427,-0.3392778778678,-0.33415686515622023,-0.3541093481395761,-0.3600519274917712,-0.34723790087621825
1456,-0.33750547167938205,-0.33948710368023327,-0.3366008942942667,-0.351843541501868,-0.3571858830378312,-0.3453631323728745
1820,-0.33763161588333446,-0.3400071120599722,-0.3367744261084618,-0.3510912864010711,-0.3570660736824771,-0.34367357699977513
2184,-0.3392860473306708,-0.3403361348258917,-0.3377173123659859,-0.3497939528510797,-0.35603759844236865,-0.3423302082329077
2548,-0.3457362958168382,-0.34714111403601156,-0.34421606259937804,-0.35314296759523167,-0.36028028986021954,-0.34639542738762824
2912,-0.36214160866081524,-0.37067229883631975,-0.35728759537192534,-0.3679598307228979,-0.37613404190188177,-0.35942848445660064
3276,-0.36332498582232564,-0.36668374783799584,-0.3588694791085375,-0.36858986506478547,-0.3788347628682189,-0.3589840004696345
3640,-0.37674243064224455,-0.3969374959338995,-0.36558846041686244,-0.3805896919883588,-0.39901323178790943,-0.3652541207178488
