train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
674,1.0,1.0,1.0,0.1913166134722225,0.1692170818505338,0.21119804576339476
1348,1.0,1.0,1.0,0.20673695505579262,0.18973902728351127,0.22313167259786476
2023,0.9976272862086011,0.9970341077607514,0.9997034107760752,0.20815777057267879,0.19151838671411625,0.228287666272191
2697,0.9954022988505749,0.9940674823878384,0.9988876529477196,0.21207250195304123,0.18932384341637012,0.22852554704491326
3372,0.9912218268090154,0.9884341637010676,0.9922894424673784,0.21444779385447718,0.2052285954768198,0.2337485172004745
4046,0.9863074641621354,0.9770637666831438,0.9933267424616905,0.22025924293020172,0.21055753262158955,0.23730723606168447
4720,0.9872457627118644,0.9801059322033898,0.9923728813559322,0.22168167572694975,0.21791221826809015,0.22679576075789953
5395,0.9845412418906395,0.981112140871177,0.9891195551436515,0.21966759976683042,0.20297632231965748,0.23523131672597863
6069,0.9853353105948262,0.9791893227879387,0.990327895864228,0.22808814315880072,0.21653517478224732,0.2426453143534994
6744,0.9862989323843416,0.9804270462633452,0.9911032028469751,0.227612170663809,0.21322657176749704,0.2363582443653618
