train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
674,-0.4150883539523976,-0.42077217428919855,-0.39519498277359455,-0.4167525062813425,-0.42241901522670544,-0.4063374398825036
1348,-0.42372424644627743,-0.4256800218419959,-0.416879032561263,-0.42392883140199017,-0.42812505323093514,-0.4203191278184431
2023,-0.41826100211744066,-0.4205822298311411,-0.4125985794269115,-0.4195589000102494,-0.42328886129803456,-0.4165583337789931
2697,-0.4173443001298761,-0.42304792533062424,-0.4117055698132381,-0.41993627528513766,-0.4228310433807244,-0.4164829797444428
3372,-0.414824589312742,-0.42211325896739216,-0.4125899183375479,-0.4182653776507094,-0.4195122688641948,-0.4169192810632966
4046,-0.40978055759155885,-0.4231328646094078,-0.40477695478132053,-0.41261160601577307,-0.41879740713488756,-0.40981129649542675
4720,-0.41026207343116783,-0.41354820566841927,-0.4082696805224586,-0.4126209497939411,-0.4161766887317962,-0.40831576907682815
5395,-0.4110362987394948,-0.4145741597393331,-0.40612942152267467,-0.41286705608539453,-0.4185772678589157,-0.4081794332144584
6069,-0.40949270439841146,-0.4127338497219522,-0.4042187832426708,-0.4111531194661805,-0.4164580008291845,-0.39912802612553433
6744,-0.4109946536751451,-0.41358794814126987,-0.4077238015754221,-0.41203329700338165,-0.41582646236736254,-0.40450551952781666
