train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
107,0.7271028037383178,0.7102803738317757,0.7859813084112149,0.29328358208955224,0.23134328358208955,0.37910447761194027
214,0.6130841121495327,0.6121495327102804,0.6163551401869158,0.3611940298507463,0.3186567164179105,0.4324626865671642
321,0.528348909657321,0.48940809968847354,0.5451713395638629,0.3455223880597015,0.29328358208955224,0.42425373134328354
428,0.47803738317757005,0.45514018691588787,0.4883177570093458,0.35074626865671643,0.275,0.42313432835820897
536,0.44888059701492544,0.4326492537313433,0.4552238805970149,0.34328358208955223,0.2884328358208955,0.39888059701492534
643,0.42146189735614314,0.4200622083981338,0.4228615863141524,0.332089552238806,0.28097014925373137,0.3805970149253731
750,0.40213333333333334,0.3913333333333333,0.40906666666666663,0.3238805970149254,0.283955223880597,0.3619402985074627
857,0.3878646441073513,0.3851808634772462,0.3906651108518086,0.3201492537313433,0.29626865671641794,0.3447761194029851
964,0.3784232365145228,0.37178423236514524,0.3836099585062241,0.3216417910447761,0.2828358208955224,0.36828358208955225
1072,0.3751865671641791,0.37061567164179104,0.3810634328358209,0.31791044776119404,0.2847014925373134,0.3593283582089552
