train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
107,1.0,1.0,1.0,0.37238805970149247,0.308955223880597,0.41044776119402987
214,1.0,1.0,1.0,0.39179104477611937,0.35186567164179106,0.40970149253731347
321,1.0,1.0,1.0,0.3955223880597015,0.3701492537313433,0.42014925373134326
428,0.9934579439252337,0.9705607476635515,1.0,0.3858208955223881,0.3585820895522388,0.4350746268656716
536,0.9914179104477612,0.9613805970149254,1.0,0.3940298507462686,0.3742537313432836,0.4223880597014925
643,0.9891135303265941,0.9668740279937791,1.0,0.3977611940298508,0.3805970149253731,0.43656716417910446
750,0.9826666666666666,0.9696,1.0,0.39925373134328357,0.367910447761194,0.4212686567164179
857,0.9838973162193698,0.9731621936989499,1.0,0.39477611940298507,0.37723880597014925,0.41641791044776116
964,0.9856846473029046,0.9761410788381742,1.0,0.39626865671641787,0.3697761194029851,0.42761194029850746
1072,0.9871268656716417,0.9785447761194029,1.0,0.4044776119402985,0.3735074626865672,0.4388059701492537
