train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
623,0.0,0.0,-0.0,-0.40266106652931927,-0.4091386427037798,-0.39532201549820284
1247,0.0,0.0,-0.0,-0.4027011662174481,-0.41223117061674674,-0.3921597864129791
1871,-0.0005701051131302333,-0.0007126313914127916,-7.126313914127923e-05,-0.40378949658925406,-0.41178315391824266,-0.3925038612655583
2494,-0.001710772520716386,-0.0021384656508954825,-0.0004276931301790966,-0.4023901818754035,-0.4079856665700576,-0.392414213391227
3118,-0.0038272396835578363,-0.005527047252512295,-0.0027795595467179812,-0.4007445570850473,-0.4055443118959644,-0.3908836072159728
3742,-0.004934972385533582,-0.008346695171922323,-0.002761446641724568,-0.4009495986230377,-0.41047727165040016,-0.3870526372602456
4365,-0.005208094692630774,-0.007758686521573119,-0.003970981290568919,-0.4010536352625703,-0.41034325314837555,-0.38837937025310165
4989,-0.006133493686109441,-0.00799759470835839,-0.003868510723591903,-0.3965255767275607,-0.4051938964354597,-0.3860279301367151
5613,-0.005606033612447295,-0.007803313735970071,-0.0034384464635667206,-0.39582783093947005,-0.404733641940008,-0.38710122704836186
6237,-0.0053765164876275985,-0.00748757415424082,-0.003318903318903319,-0.3982180892203445,-0.4089593835463048,-0.3894760828995128
