train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
516,0.0,0.0,-0.0,-0.40087719298245617,-0.4053147574819402,-0.3940660474716203
1033,0.0,0.0,-0.0,-0.3997420020639835,-0.41395768833849333,-0.38273993808049533
1550,-0.0006021505376344086,-0.0008602150537634409,-4.301075268817208e-05,-0.4065273477812177,-0.41722136222910217,-0.39458204334365327
2067,-0.0018706660216094178,-0.002580228995323335,-0.000419287211740042,-0.4015221878224974,-0.40580495356037155,-0.39677502579979357
2584,-0.003611971104231166,-0.004308565531475748,-0.003353973168214654,-0.40139318885448916,-0.4117647058823529,-0.39259545923632605
3100,-0.00603584229390681,-0.010028673835125448,-0.003082437275985663,-0.39562263501891987,-0.4103973168214654,-0.38457602339181285
3617,-0.0056891837925844,-0.009080576290971646,-0.0032562283046109423,-0.3991400068799449,-0.40509545923632606,-0.3940488476092191
4134,-0.006939740902005052,-0.008673332258237918,-0.004526151695963016,-0.398469212246302,-0.4049191606467148,-0.3926857585139319
4651,-0.0065410067130127324,-0.009137819823693829,-0.004023029694928212,-0.398030615755074,-0.40530185758513937,-0.3930770553835569
5168,-0.006131750945992432,-0.008763329893360854,-0.003788269693842449,-0.3982112143102855,-0.4138888888888889,-0.3884932920536635
