train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
516,-0.2859792423197863,-0.2910781732093884,-0.26813298420617904,-0.46060089167543294,-0.46726196199812065,-0.4539437121533572
1033,-0.32611740481671625,-0.32819344602505063,-0.3188512605875461,-0.4176542023168195,-0.42050595440382255,-0.4138273500615714
1550,-0.34143601501005943,-0.3431196030443037,-0.3377002763971493,-0.3999554414507557,-0.4031826833102615,-0.39747069118743866
2067,-0.35132112356897627,-0.351964311605153,-0.34923535510101794,-0.39296276360595633,-0.39451387989695336,-0.39078350699050973
2584,-0.35809977686458977,-0.3609605474290782,-0.3560171820000756,-0.39064001822013866,-0.393310114454914,-0.3869629324082845
3100,-0.3623606241556795,-0.3646015741170095,-0.36084179800951904,-0.39012197509510865,-0.3933012637861915,-0.3866490518492995
3617,-0.36513157013372,-0.3672563022125523,-0.3644166716344831,-0.3892341373897949,-0.3921545782674079,-0.38633889498057233
4134,-0.3683966946135386,-0.3700505015144552,-0.36728581201493576,-0.38847277534534064,-0.3894908115662345,-0.387061486040352
4651,-0.3694975499053378,-0.37144777125507417,-0.3684761445804735,-0.3877645788925116,-0.3894281268201393,-0.3855991818417008
5168,-0.3726369778506319,-0.37461590174251674,-0.37173804747625294,-0.388040576800846,-0.39039111396077475,-0.3847490153344254
