train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.578021978021978,0.5714285714285714,0.6010989010989011,0.25444638786021884,0.23769230769230767,0.2685252288874682
728,0.48791208791208784,0.4876373626373626,0.48887362637362636,0.2634535168453939,0.22307692307692306,0.287770714466653
1092,0.44963369963369965,0.44505494505494503,0.45686813186813185,0.26301564516712705,0.21846153846153848,0.29043956043956043
1456,0.4141483516483516,0.4069368131868132,0.43166208791208793,0.27114124075704754,0.22417582417582416,0.3067289900001206
1820,0.3910989010989011,0.38560439560439563,0.40043956043956047,0.27817372528678785,0.2343956043956044,0.3092542912630728
2184,0.3892857142857143,0.3869047619047619,0.3939102564102564,0.29267535976646847,0.2521978021978022,0.3256105475205366
2548,0.36711145996860284,0.3600470957613815,0.3738226059654631,0.2898203881738459,0.25274725274725274,0.32348162265835156
2912,0.3628434065934066,0.3544986263736264,0.3747596153846154,0.2917988926550946,0.2568131868131868,0.31633900676710774
3276,0.3551892551892552,0.34496336996336996,0.3619352869352869,0.28784501996357104,0.259010989010989,0.30546097152024704
3640,0.3451648351648352,0.3335714285714286,0.35714285714285715,0.2847719569124618,0.25989010989010985,0.3029670329670329
