train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.2512820512820513,-0.258974358974359,-0.2490842490842491,-0.40377038743668814,-0.41242979242979244,-0.3989303707635211
728,-0.24285714285714288,-0.25311355311355316,-0.23992673992673996,-0.40176826710306407,-0.40720390720390726,-0.3968059894733879
1092,-0.25413105413105413,-0.257977207977208,-0.24662189662189665,-0.4028433915151807,-0.4116483516483517,-0.3958539301898248
1456,-0.2569291819291819,-0.2582417582417582,-0.2547771672771673,-0.399278389618675,-0.4106715506715507,-0.39175152692166965
1820,-0.2573626373626373,-0.2582661782661783,-0.257020757020757,-0.3945912460511802,-0.4088888888888889,-0.3876996792693829
2184,-0.25832315832315833,-0.2612739112739113,-0.2552910052910053,-0.3939069492527231,-0.40446886446886454,-0.3871366248095117
2548,-0.2583813012384441,-0.26173905459619745,-0.25527646956218386,-0.39380916193210375,-0.4071794871794872,-0.3842246642246642
2912,-0.2597527472527473,-0.2631333943833944,-0.2566773504273504,-0.3944437072867369,-0.40510378510378503,-0.3887912087912088
3276,-0.26065662732329403,-0.2636141636141636,-0.2573395740062407,-0.39458953048415174,-0.4046886446886446,-0.3852503052503053
3640,-0.26362637362637364,-0.2666178266178266,-0.2598412698412699,-0.3959078901340153,-0.406910866910867,-0.3839316239316239
