train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.3241758241758242,0.3159340659340659,0.35302197802197804,0.2278643200926406,0.21758724261468498,0.24846153846153846
728,0.2887362637362637,0.2554945054945055,0.4050824175824176,0.21442974149889626,0.1721978021978022,0.32910966092085736
1092,0.1633699633699634,0.09734432234432235,0.34706959706959706,0.14520476230684792,0.0678021978021978,0.2984763754357607
1456,0.2706043956043956,0.13688186813186812,0.42493131868131867,0.27426472539535107,0.11100445109226668,0.42626373626373626
1820,0.18681318681318682,0.017912087912087912,0.29120879120879123,0.18899940893354725,0.013181023148092302,0.30846153846153845
2184,0.28617216117216115,0.0810897435897436,0.4461996336996337,0.26254834079202904,0.07637362637362638,0.3948741269707241
2548,0.2718995290423862,0.015502354788069075,0.45722135007849296,0.25406183278850675,0.025256269526302458,0.45285714285714285
2912,0.27403846153846156,0.020192307692307693,0.45391483516483516,0.248349477087128,0.02185836117779038,0.4164835164835165
3276,0.2180708180708181,0.025091575091575093,0.40824175824175823,0.2071991893945791,0.029890109890109894,0.408105089202784
3640,0.19631868131868133,0.020137362637362637,0.45239010989010986,0.16671958118719918,0.014395604395604398,0.4001282252325062
