train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.20825576145493482,-0.20926636123903672,-0.20796701865947717,-0.41037613291904174,-0.41492582892996094,-0.4003533685157147
728,-0.20921857984625863,-0.21034745966500779,-0.2052675004806367,-0.40680766733423923,-0.41210779007112935,-0.400852520256025
1092,-0.20471293013380448,-0.2051685344161053,-0.20342434350342845,-0.4047202304575537,-0.4106777199484888,-0.40052269838531473
1456,-0.2068688434987767,-0.20762399328237127,-0.20513546818510975,-0.4037060209720103,-0.40911376366738605,-0.39784407111293024
1820,-0.20677790653130285,-0.20719770255385073,-0.20555527076989333,-0.40402010493159757,-0.40627559069921154,-0.40212485578238233
2184,-0.20585251500664725,-0.2063305810706353,-0.2050720668722043,-0.40229424342562015,-0.40628340320608114,-0.397264718209604
2548,-0.20697621890562248,-0.20878321353529852,-0.20613327014024885,-0.4000787145127792,-0.40256181667042723,-0.39700980613094755
2912,-0.20701077091019487,-0.20749994927440643,-0.20640987200550173,-0.4013460289722097,-0.404361213160822,-0.39621228996769386
3276,-0.20630164830501047,-0.20713079568829637,-0.20549264660286196,-0.40107208221314183,-0.405348682594698,-0.3965369213402472
3640,-0.20733465946728774,-0.2088626225945866,-0.2055641076298113,-0.4007348457085579,-0.40553703909483835,-0.3963169484344487
