train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,-0.3190822178019652,-0.3208777668980734,-0.3127977959655867,-0.3578045164190377,-0.36123336064884226,-0.3529628114085201
728,-0.32319764088501185,-0.32483513388030827,-0.3174664154014743,-0.3531637316666821,-0.35904582888296893,-0.3470262345327005
1092,-0.3294876833175563,-0.33089125200871833,-0.32745994987640403,-0.35284528729215286,-0.35770961226238973,-0.34776851332993775
1456,-0.3311875963138252,-0.33314401058071513,-0.33039264428959464,-0.35158123913826356,-0.3572653348702478,-0.34494435502700105
1820,-0.33198460384938944,-0.33485769964531664,-0.33091456564308924,-0.3511303395626523,-0.35772909205272585,-0.343497746410918
2184,-0.33356901759484536,-0.3352055508458216,-0.3319736805542686,-0.34953508708017267,-0.3554454364482874,-0.3426633928628365
2548,-0.33685383212633513,-0.3399812708201924,-0.3346511292080543,-0.3494260409669691,-0.3549692980349396,-0.3435144675477634
2912,-0.3372847833259063,-0.33999257126371707,-0.3350905658037048,-0.34917366743910466,-0.354361404296362,-0.3443389469768747
3276,-0.33769374577591527,-0.339749795479541,-0.3356890010375867,-0.3488557442453932,-0.3539781884887885,-0.34434070841353576
3640,-0.3397038128187742,-0.34128263375838164,-0.33798450809585145,-0.3485700931197596,-0.353722642718721,-0.34433237436000896
