train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
324,1.0,1.0,1.0,0.2730151661122523,0.24676440114154838,0.28567914250571075
649,0.9815100154083204,0.9768875192604006,0.99768875192604,0.25430049867001137,0.2288177339901478,0.2724477244772448
974,0.7147843942505135,0.696817248459959,0.7248459958932238,0.3008291979471519,0.27241379310344827,0.317220172201722
1299,0.6317167051578138,0.6151655119322555,0.6404926866820632,0.33530044413744625,0.3176108374384236,0.35106641460503274
1624,0.5732758620689655,0.5633004926108375,0.5769704433497537,0.34760662631256856,0.325615763546798,0.3775357642738989
1949,0.5466393022062596,0.5385325808106721,0.5525910723447922,0.35129696617163214,0.316871921182266,0.3845595586497737
2274,0.530782761653474,0.5139841688654354,0.5404573438874231,0.3589278897715086,0.31834975369458124,0.38960806233678097
2599,0.5084263178145442,0.49495959984609467,0.5183916891111966,0.3641018183580851,0.32807881773399017,0.3934251904095396
2924,0.49541723666210674,0.4882352941176471,0.5022229822161423,0.36263034797835664,0.345935960591133,0.388871418270833
3249,0.48211757463835025,0.4745460141582025,0.4925823330255463,0.36656638733875024,0.3497093111325202,0.3816034391871012
