train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
262,1.0,1.0,1.0,0.2687101266232715,0.2557077625570776,0.2869733475824994
525,0.996952380952381,0.9961904761904762,0.9996190476190476,0.27175380401844984,0.24901065449010654,0.28788450773294844
788,0.9951776649746193,0.9936548223350253,0.9974619289340102,0.28211081965089535,0.26675896240163216,0.2907153729071537
1051,0.9946717411988582,0.990104662226451,0.9978116079923882,0.28728770824369776,0.2618966657876597,0.30258751902587516
1314,0.9896499238964992,0.9660578386605784,0.9968797564687976,0.27693439369335604,0.24896947995170088,0.3038051750380517
1576,0.9899746192893402,0.9683375634517767,0.9974619289340102,0.27753859534681447,0.2482496194824962,0.29665144596651444
1839,0.9853181076672104,0.9704730831973899,0.996411092985318,0.2818036298362734,0.2754222703362896,0.29254185692541856
2102,0.9829686013320647,0.9738820171265461,0.9968125594671741,0.2845396547815668,0.27118915767997664,0.29041095890410956
2365,0.9856236786469343,0.9772093023255815,0.997293868921776,0.2848440687846109,0.26362252663622526,0.30791476407914764
2628,0.9864535768645357,0.9783485540334855,0.9974885844748859,0.280889462556615,0.24972935837115376,0.29802130898021306
