train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
262,0.20839694656488553,0.19083969465648856,0.2698473282442748,0.15700360392869867,0.12374429223744292,0.2336090639500724
525,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.1853219710112744,0.1663622526636225,0.21477078735895405
788,0.21827411167512692,0.18197969543147208,0.24111675126903553,0.1835075155098472,0.16572636049464962,0.21019786910197868
1051,0.20399619410085634,0.17611798287345387,0.219790675547098,0.17559367670122553,0.16925418569254186,0.18871008035974518
1314,0.17534246575342466,0.15136986301369862,0.18949771689497716,0.15611210577692652,0.14170471841704718,0.1733376358412791
1576,0.16941624365482233,0.15628172588832487,0.1782994923857868,0.1555037404061012,0.14216133942161338,0.16978205252760775
1839,0.1542142468733007,0.12561174551386622,0.17183251767264818,0.14454761210809008,0.11704718417047183,0.161314901944456
2102,0.1616555661274976,0.15371075166508086,0.1741674595623216,0.15428469648813573,0.13668188736681885,0.17342877498808715
2365,0.1709090909090909,0.1585200845665962,0.18989429175475686,0.16189550919950219,0.1526636225266362,0.1728220288406823
2628,0.3253424657534246,0.21856925418569254,0.4058599695585997,0.31256656164846197,0.22283567658094036,0.3922374429223744
