train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
214,0.34018691588785044,0.3317757009345794,0.36962616822429906,0.28027043553183806,0.2585820895522388,0.3029795158286778
429,0.303030303030303,0.3006993006993007,0.3111888111888112,0.2743162678228967,0.254428972456155,0.2983771783540399
643,0.29486780715396577,0.28818040435458786,0.3077760497667185,0.2758046360376886,0.2618902693237722,0.2929236499068901
858,0.2895104895104895,0.2782051282051282,0.2948717948717949,0.2664873954251091,0.2495778787626115,0.28012486450429414
1073,0.28648648648648645,0.2799627213420317,0.2898415657036347,0.2661149559465244,0.24248902137357903,0.28254711081464184
1287,0.2808080808080808,0.2703185703185703,0.2867132867132867,0.26909447177520224,0.24509922454765282,0.2857124989577253
1502,0.27869507323568576,0.27123834886817577,0.28382157123834884,0.27132980349648406,0.25050897745907336,0.2843575418994413
1716,0.27715617715617713,0.269055944055944,0.28426573426573426,0.2661198198949387,0.24827434058756495,0.2829706217515773
1931,0.27198342827550487,0.2663904712584153,0.2777317452097359,0.2620174268323189,0.24248902137357903,0.27569554462325246
2146,0.27241379310344827,0.2690587138863001,0.2776794035414725,0.26835306706690015,0.25125698324022344,0.2808711331610106
